"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","he-lazy-image src 2"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-fatih-kiralik/daire/143765-598","21","16.000","01-04-2025","Kiralık Daire","4 +
                          1","145 m²","9
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Nokta Emlak'tan Fatih Mh 4+1 Kiralık Daire","Afyonkarahisar / Merkez / Fatih Mah.",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-selcuklu-kiralik/daire/113196-266","23","21.000","28-03-2025","Kiralık Daire","3 +
                          1","140 m²","17
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Koçoğlundan Selçuklu Levent Börek Karşısında 3+1 Afjetli Kiralık","Afyonkarahisar / Merkez / Selçuklu Mah.",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-sahipata-kiralik/daire/153665-4","9","14.000","24-03-2025","Kiralık Daire","2 +
                          1","90 m²","9
                        Yaşında","Ara Kat","","","","Sahipata Mahallesi'nde 2+1kiralık Daire","Afyonkarahisar / Merkez / Sahipata Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/9/0/4/6/9/3/4/1735587445101-43964098.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-dortyol-kiralik/daire/81449-2355","20","13.000","28-03-2025","Kiralık Daire","2 +
                          1","90 m²","10
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Afyon Üçok Emlaktan Uydukent Otogar Toki De Kiralık Eşyalı 2+1 Daire","Afyonkarahisar / Merkez / Dörtyol Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/6/5/6/3/4/4/c64aaed6-f956-4295-8944-cfd0b2043701.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-esentepe-kiralik/daire/113196-265","22","18.000","26-03-2025","Kiralık Daire","3 +
                          1","135 m²","17
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Koçoğlundan Esentepe Mah Yol Üzeri 3+1 Dubleks Kiralık Daire","Afyonkarahisar / Merkez / Esentepe Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/7/1/9/8/3/4/4/0265fafe-c64e-4f82-91c8-e94e1e237332.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-marulcu-kiralik/daire/124367-165","12","11.000","17-03-2025","Kiralık Daire","2 +
                          1","100 m²","50
                        Yaşında","En Üst Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Afyon Imza Emlaktan Ambaryolu Caddesınde Ofis","Afyonkarahisar / Merkez / Marulcu Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/1/8/6/4/3/4/4/1742237951867-44346819.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-dortyol-kiralik/daire/116282-1164","22","5.000","21-03-2025","Kiralık Daire","2 +
                          1","125 m²","10
                        Yaşında","2. Kat","","","","Sılam Emlaktan Deprem Evlerden  2+1 Kiralık Daire","Afyonkarahisar / Merkez / Dörtyol Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/8/0/7/7/1/3/4/e86d7445-9900-4f05-b012-cbf3eec4c544.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-cumhuriyet-kiralik/daire/145595-149","24","14.500","27-03-2025","Kiralık Daire","2 +
                          0","125 m²","22
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ambaryolu Caddesi Doğalgazlı Süit Eşyalı Kiralık Daire","Afyonkarahisar / Merkez / Cumhuriyet Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/9/6/3/1/3/4/4/98b77365-5662-4257-8197-6fb1c5b72e5f.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-esentepe-kiralik/daire/146381-31","23","15.000","04-03-2025","Kiralık Daire","3 +
                          1","145 m²","16
                        Yaşında","7. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İdeal'den Turkuaz Sitesinde Manzaralı Kiralık Uygun Fiyat Daire!","Afyonkarahisar / Merkez / Esentepe Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/5/5/4/4/2/4/4/62f2f683-9d54-4d7a-993a-b0d6d35e44fc.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-suhut-haci-musa-kiralik/daire/0-44019279","29","11.500","13-03-2025","Kiralık Daire","3 +
                          1","135 m²","3
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","**sahibinden Kiralık**şehrin Merkezinde 3+1/kombili/135 M Daire","Afyonkarahisar / Şuhut / Hacı Musa Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/2/9/1/0/4/4/Bt0nTA77j5GHK9EIYA8-5.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-karsiyaka-kiralik/daire/87840-3282","13","10.000","27-03-2025","Kiralık Daire","2 +
                          1","85 m²","15
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Öztürk Emlaktan Karşıyaka Mahallesinde 2+1 Kiralık Daire","Afyonkarahisar / Merkez / Karşıyaka Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/5/2/5/9/3/4/4/c4785b31-dc75-457b-bbf3-e6d3ca34092e.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-sahipata-kiralik/daire/116282-1211","18","10.000","24-03-2025","Kiralık Daire","3 +
                          1","125 m²","10
                        Yaşında","1. Kat","","","","Sılam Emlak'tan Sahipata Mah.3+1 Kiralık Daire","Afyonkarahisar / Merkez / Sahipata Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/5/0/0/1/8/3/4/24660ca8-3d1d-4d19-8c82-471b731ba1a1.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-esrefpasa-kiralik/daire/145595-145","30","12.500","21-03-2025","Kiralık Daire","3 +
                          1","125 m²","22
                        Yaşında","En Üst Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Afyon Tezcan Emlaktan Eşrefpaşada Ana Cadde Üzeri 3+1 Daire","Afyonkarahisar / Merkez / Eşrefpaşa Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/9/7/1/1/2/4/4/1739892478971-44211791.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-fatih-kiralik/daire/87840-3280","12","12.000","18-03-2025","Kiralık Daire","2 +
                          1","100 m²","20
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Afyon Öztürk Emlaktan Fatih Mh 2+1 D .Gazlı Daire","Afyonkarahisar / Merkez / Fatih Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/6/4/8/4/3/4/4/965c79a4-3cc1-4d0e-a203-7bd13485b5df.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-selcuklu-kiralik/daire/145595-141","22","14.000","26-03-2025","Kiralık Daire","3 +
                          1","55 m²","8
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Afyon Tezcan Emlaktan Selçuklu Mahallesinde 1+1 Eşyalı Daire","Afyonkarahisar / Merkez / Selçuklu Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/5/4/4/1/4/4/794684aa-e336-4165-b706-9743a6f1f635.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-dortyol-kiralik/daire/0-44043249","11","14.000","07-03-2025","Kiralık Daire","2 +
                          1","110 m²","5
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Afyonkarahisar Uydukent Otogar Toki 2+1 Full Esyalı Bakımlı Kiralık Daire","Afyonkarahisar / Merkez / Dörtyol Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/4/2/3/4/0/4/4/Gh7Nl_j1G_BQlrMBXlUVj.jpeg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-fakipasa-kiralik/mustakil-ev/116282-1188","15","5.000","25-03-2025","Kiralık Müstakil Ev","2 +
                          0","50 m²","48
                        Yaşında","","","","","Sılam Emlak'tan Fakıpaşa Mah. 2+0 Dubleks Sobalı Kiralık Ev","Afyonkarahisar / Merkez / Fakıpaşa Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/3/7/1/3/5/3/4/8adfa325-f71e-4ad4-a9d2-d01b0c782339.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-kanlica-kiralik/daire/145595-140","27","13.000","10-03-2025","Kiralık Daire","3 +
                          1","125 m²","20
                        Yaşında","En Üst Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Afyon Tezcan Emlaktan Kanlıca  Mahallesinde Kiralık  Daire","Afyonkarahisar / Merkez / Kanlıca Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/3/8/9/3/1/4/4/dd1e0dc4-2d16-4ef4-be6a-a3d880bc754b.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-esrefpasa-kiralik/daire/143765-593","20","18.000","07-03-2025","Kiralık Daire","3 +
                          1","120 m²","Sıfır Bina","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Nokta Emlak'tan Eşrefpaşa Mh. 3+1 Kiralık Daire","Afyonkarahisar / Merkez / Eşrefpaşa Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/7/6/3/0/1/4/4/1737993877072-44103677.jpg"
